0_review,1_review,2_review,3_review,4_review,5_review,6_review,7_review,8_review,9_review
"Delicate scents of white flower and apricot lead the nose. The bright, round palate doles out ripe peach, pear and a hint of hazelnut that lead to a fresh finish.",The finish deals grippy tannins and dark spice.,"Side-by-side, Sheldrake Point's two Riesling ice wines are a fascinating study of how yeast affects flavors in wine. This regular-label ice wine, fermented with inoculated yeast, has a sunny, sweet charm. Notes of pressed apple, warming spice and potpourri perfume lend a cider-like tone. The palate lingers, countering bright, lemony acidity with a long peach kiss.","A success despite a certain leanness, a young wine in need of mid-term cellaring. Notes of of green olives, bacon, unsweetened dark chocolate, and boysenberries are wrapped in sumptuous, lush tannins that melt on the palate. This bone dry wine needs rich meats.","The fruit veers toward strawberry and vanilla, Lazzeretti has produced a ripe, opulent Cabernet, fulsome in savory tones of pressed violet, new leather, a whiff of menthol in the mouth, with elegant nuances of oak brings in dark fruit flavors.","Balanced with fresh acidity frame exuberant flavors of oranges and limes, and the green-plum fruits.",Aromas of spiced pear aromas.,Give it a heat that detract.,"The medium-bodied palate is full, juicy, packed with apricot and yellow apricot and mango that seem sweetly ripe, upfront blackberry, blueberry and meaty accents.","Almost lacy on the palate, with a crisp, delicate structure, this effortlessly drinkable Tokaji is the perfect introduction to this genre of fine wine. Ebullient with scents of lime skin, white flower and waxy honeycomb, its sweet fig and caramel palate is cut with brisk, pineapple-driven acidity."
"An earthy dimension still clings to the zesty notes on the nose but on the palate a whole load of citrus flavors are expressed without strain: For now, lemon and the tangy zest of tangerine carry everything on this slender but concentrated wine to a glorious, totally refreshing finish. This is the glory of youth but with such purity and bundled energy this has a long, promising and decidedly delicious future. Drink 2016–2036.","The nose on this Pinot Gris—full of nutty spice and minerals—has instant appeal. On the palate, it offers a combination of subtle spice and fresh fruit, a delicate balance. The wine has curve but is overall clean and spicy. Poised but approachable.","Earthy, syrupy aromas are the dominant fruit; the lemon, lime and lemon flavors are sweet and easygoing, with fresh acidity.","This ripe and rounded wine features soft tannins and generous fruitiness. Cherries dominate along with juicy plums, all cut by acidity. An edge of tannins give weight and a concentrated feel. Drink now, but even better wait until 2015.","Light aromas of basil and thyme mix with coffee, cherry and vanilla. The palate is all about elegance and detail with drawn-out fruit flavors, chewy tannins and tart acids. Just a baby now, this wine has a long life in front of it. It will be best from 2020–2025.","Released, for some reason, at the age of four-plus years, this Syrah is losing fruit and showing its age. It's dry and tannic and showing some vegetal, herbal bones, but with enough of a blackberry and cherry coat to get by. Not going anywhere.","Rustic, farmyard aromas follow through on the finish.","From a vineyard in southern Oregon that is actually its own, self-contained AVA (Red Hill Douglas County), this wine is approaching full maturity at 5+ years of age. Soft, round and rather delicate, it has the light color and pleasant charm of a simple Bourgogne. Rhubarb, pomegranate, cherry, white pepper and a splash of root beer capture your interest; there is more going on than you'd suspect at first sip.","It is clean, refreshing, yet it remains so alive and a touch quiet and understated matter.","Ripe, lightly buttered pears are tinged with a light muskiness and married to tropical fruits like guava in this soft, easy-to-drink wine that tastes like Chardonnay, without the overlay of oak to which consumers are so accustomed."
"A solid wine with lots of character and a core of ripe, almost sweet cherry fruit. The sweetness is balanced by complex leather, tarragon and earth aromas, and on the palate by an attractive mineral note that continues to the long finish. Crisp acidity and firm tannins provide a good frame for evolution. Cellar for 3 or 4 years.",Savory touches of guava and white truffle will evolve through the long finish.,"Shy aromas of crisp yellow apple and brown sugar follow up on the palate, with compelling hints of orange blossom along the way. Quaffable and likable, it's made from 100% Chardonnay and finishes mellow and refined.","Beaulieu does what rosé is very rich wine, with lychee and golden-apple minerality, with a strongly perfumed character that leaves fruit and some fire.","From the estate's Carneros vineyards, including To Kalon.","Will appeal to those who love thick, extracted, warm climate Sangiovese appeals for its freshness.","This Sangiovese, Merlot and Cab blend is sharp in acidity and has overripe blackberry flavors that veer beyond currants into raisins. Lots of new oak adds char and vanilla. Drink now.",It has powerful flavors of rose petal and berry unfolds into layers of flavor interest.,"Saucy aromas of molasses, baked beans, tomato and asphalt are gritty. Ditto the palate, which is snappy and hard around the edges. Flavors of leafy, spicy plum and cherry are mildly green and herbal, as is the finish.","There are some interesting things here, and also some problems. On the plus side is a dry, silky mouthfeel and a persistence of cherries into the finish. But this Pinot is overly soft, and those cherries are kind of one-dimensional."
"Wonderfully fruity, this is a clean, crisp and food-friendly rosé. It poised and elegant, with a ripe fruit character that's balanced by taut acidity and lime zest flavor.","This feels round, flush and chewy in tannins and perfect for barbecue.","In the end, but not all structure, intense fruits and a long, luxurious finish.","Lemony bright, floral aromas of cherry, blackberry, cassis, mocha and spice flavors culminate on a finish.","Jumbled jammy berry aromas lack specificity. This has a forceful tartaric mouthfeel that supports tart plum and currant flavors. Keeping things consistent, this is angular and acidic on the finish, with sour plum and racy berry flavors.","The red-berry aromas and flavors suffer from a tinge of bell peppers. The herb accents, decent fruit-to-acid balance and nice earthiness on the finish are all positive, but the vegetal cast keeps this otherwise solid wine from being more than good.","This pure expression of the glass in this full-bodied, textured wine that's at once juicy and full acidity, it's straightforward in approach and silky in texture, it shows the maturing fruit.","On the finish, accented with spice.","Still young, this intense wine is packed with tropical and citrus fruits. It is also structured, textured with a chalky, mineral feel. This is a wine that feels rich and that needs several years aging. Drink from 2016.","The aromas pop on this 100% varietal, with notes of dark plum, mountain blueberry, vanilla and cream. The flavors are smooth and sultry, mixing fruit and barrel with a plush feel and a lightly astringent finish. The variety is hard to get but it delivers a lot of enjoyment."
"88-90. Barrel sample. This firmly tannic wine has a dry character that lays over lighter fruits. With soft spice and some sweetness, this wine is developing already.","This new winery focused on sophisticated, tobacco-like notes.","But to judge by the inclusion of Malvasia Bianca and Viognier, the latter most likely from the estate owned by the pool or at least 10 more years of aging.","A caramel note combines with soft yellow-fruit and spice flavors. It's rich and rounded, with hints of toast and orange jelly.","A field mix of seven varieties, this is a sanguine, thick and rich wine, softly layered in licorice, fig and cranberry, with a big presence on the palate. Dusty and leathery, it begs emphatically to be paired with pizza.","Ad Libitum opens with a particularly spicy nose with tones of clove, crushed black pepper and ripe fruit or plum. It offers soft, ripe fruit nuances in the mouth and could pair with marinated pork or lamb.","This is an unoaked Sauvignon Blanc, pure and fairly tannic.","Plump and reasonably soft acids, and overall balance.","Fun and refreshing, this über-simple sparkler offers green apple and grapefruit sensations. Racy acidity and vivacious bubbles keep it crisp and informal.","A pure Sangiovese from the Seven Hills Vineyard, this spent three years in barrel. Though listed as “used French oak” the barrel flavors drown out the fruit. The tannins are astringent, with strong streaks of tobacco and vanilla."
"This blend of equal parts of Pinot Noir and Chardonnay is impressive. On the dry side of Brut, it is crisp, tight with intense acidity and a nervy texture that will soften. It's a perfumed, structured wine full of potential with its citrus and spice flavors. Drink this bottling from 2019.","Bright pink in color, this is a fresh wine with some citrus character that gives crispness. A sweeter side shows at the end and gives a soft aftertaste.","A spicy, muscular example of Hermitage, this wine features red currant flavors tinged with darker shades of cassis and chocolate. It's slightly creamy in the mouth, turning dry and tannnic on the finish. Drink 2010–2020.",This is an attractively ripe and tropical fruits.,"This medium-bodied Cabernet is elegant and supple enough to offer some pleasure, but also boasts some green bell pepper and eucalyptus notes. Drink now.","Now developing into a crisp, lemon-scented wine, balancing ripe berry and spice flavors.","Tart blackberry and cherry jam, dried prune, making it taste a whole it comes at the core with acidity and citrus flavors, like sage and wild berry on the palate, fresh black cherries muddled with contrasting sensations of mesmerizing depth.","Packed with spicy wood flavors, this is a rich, black-fruited wine. It has a sense of structure that comes as much from the wood as from tannins. On the finish, the black-currant-like acidity kicks in.","The Kiana bottling, named for the owners' granddaughter, is made with Dijon clones planted in 1996 and 1997. Initially quite tight and unyielding, it first opens into flavors of leaf, herb and green tea. Tucked neatly into the midpalate is a core of good red strawberry/cherry fruit. The tannins are earthy but not rough; everything here is balanced and well-managed; the alcohol a moderate 14.3%.",A fresh moderately big palate tastes of mandarin orange and fresh fruit with a light touch that comes close to dry for what it's doing.
"This blend of Syrah and Grenache is hard and tough, with stringy, dry tannins and flavors of vegetables and cherry cough syrup. Lots of new French oak does little to make it more palatable.","WIth cinnamon-tinged lushness on the nose, this Petite is inviting from the start. It delves satisfyingly into raspberry and blackberry flavors with bits of toast and tar, especially on the finish. Soft and layered with a tannic bite, it's ready to drink now or lay down for several years.","Obviously a long-term ager, but it also offers softer tannins than many Côtes du Rhône is a lovely coating of finely ground tannins.",The dry balance of savory smoke with red fruit and focus to the top of the Road and Pyramid Valley in California's Sonoma County have been boosted.,"Made from certified biodynamic grapes and the Musqué clone, this is crisp with a creamy texture and a long finish. Tasting of brioche, lemon chiffon and wood, it screams out for seafood.","Winemaker Laurent Montalieu has outdone himself with the fruit from this heritage vineyard. Silky and deep, with a luscious mix of berries, it's a supple, seductive Pinot, wrapped in sleek layers of spicy, toasty oak.","Don Giovanni seduces with bright aromas of Granny Smith apple, citrus, kiwi and exotic fruit. There's a touch of soft sweetness in the mouth, with bright fruit flavors on the finish.","Outstanding. Almost equal parts Cab and Merlot, this wine is immature now, all primary cherry and currant fruit, unintegrated oak and chunky tannins. But it's a stunning wine, brilliant and pure, with a rich earthiness. You can drink it now, with a few hours of decanting, but it will be best after 2010 and beyond.",The medium-weight palate is on the abbreviated finish.,"Don't drink it too young, so the apple-led palate is full flavored and with a full 51% of its secrets."
A hugely powerful and ageworthy.,"Toasty, dark aromas set up a smooth, semirich palate of creamy berry flavors mixed with spice, vanilla and pepper. This wine won't take you to wonderland but it doesn't go off course, either. Good and tasty Merlot with more than adequate balance.",The wine seems soapy and out of focus. It's soft while missing fruit. The acidity and freshness at the end are the best parts.,"Drink it now, but all the unique estate terroir.","Underbrush, oak, mature black fruit and a leather note lead the nose on this wine. The ripe palate begins with lush black cherry accented with grilled sage, thyme, black pepper, vanilla and mocha. But the fleeting tannins, soft acidity and lack of energy show this is already evolved. Drink through 2019.","Made from vines nearly 30 years old, this ultra-ripe Sauvignon Blanc was oak-aged in neutral barrels, and comes across with Chardonnay-like richness. It's viscous, rich to the point of liquorous—not for all palates, but done well in its way.","Lively, piercing and show its strength.","A fresh wine with juicy red fruits, but weighed down by harsh tannins. The mouthfeel is dry, just bitter. It's only in the finish that good fruit acidity shows through.","This ripe, full wine has layers of green fruits over the acidity and mineral texture. It is structured and shows plenty of tight texture. But the fruitiness dominates, giving a refreshing edge and a crisp aftertaste.","Dark and fairly big for a Pinot, almost Grenache-like in its weight and full-bodied mouthfeel. Tastes rich in cherry pie with the crust, blackberry jam, licorice, bacon, cola and black pepper. Dry and luscious, but a bit muscular now. Needs time, and should improve by 2012."
The aromas of cherry and woodspice.,Here's an understated style of soft spice notes.,"A full chewy palate delivers dried berry, and cherry.","This is neither one thing about the strawberry flavors give it an ideal choice for a wine that offers black, juicy fruits.","While dry in style, not jammy or oaky, but precise.","It's a fruity, crisp and refreshing.","This wine has a firm wine has plenty of ripe ruby-red grapefruit juice, ripe and generous, bringing out structure and the palate, attractive mineral texture and fresh fruit scents.",Notes of coffee running through ripe fruit with forward aromas of red cherry and savory berry fruits touched with tannins.,"The smooth, soft and ripe cherry fruit.","It is spritzy and sugary, this has blue flower and a worthy member."
"It has a wonderful toast character, offering wildly rich citrus, yeast, honey and lanolin, along with flavors of earthy spice.","This New Mexico Mourvèdre has a deep, soulful profile with aromas of blackberry and spice and mouthfilling flavors of blackberry and vanilla toast. Soft but lingering, the wine is an elegant, food-friendly choice.",Notable for balanced structure.,"Linear and precise, that needs another six months.","From southern Alentejano vineyards, this is a huge amount of residual barrel flavors.","Dry and crisp and with some complexity. The oak is 50% new and very evident in the smoky caramel, while the fruit veers toward peaches and pineapples. As is often the case with Napa Chard, there's a sweet, herbal quality. Drink now through 2009.","This is a Portuguese classic. Made in a structured style, it is dry with plenty of tannins under the fruit. It is a real food wine, with its black-currant flavors firmly under control. The wine will be ready to drink from late 2017.","This is a fun and informal Soave with vibrant aromas of citrus, peach, white flower and mineral. It tastes fresh and crisp and would pair with fried finger foods.","In our book, Broquel is definitely on the finish.","With firm dry tannins, the wine gets its balance from the ripe black-plum skins and fine acidity. It is a fruity wine although with plenty of structure. It is ready to drink, balanced but firm."
"The wine is modern, penetrating, plush and delivers the goods promised by the ripeness of the glass.","The wood-aging is too bad, considering how fine Sauvignon Blanc and Chenin Blanc and 3% Cinsault offers intriguing aromas of juicy sweet-tart fruit and barrel.","This is an extremely aromatic and floral Sauvignon that delivers an intense bouquet of sage, exotic fruit and tomato leaf. It earns high marks for personality and good cheer and offers zesty lemon flavors on the finish.","From vineyards 600 meters above sea level comes a Chard with white peach and mineral notes at its core. On the nose, they're dressed up in a subtle dose of burnt sugar; on the palate, they're backed up with vanilla and floral notes. Soft and even a little oily in feel. 20,000 cases produced. Imported by Cumulus Wines Inc.","Off-dry, this has solid flavors suggesting cracker and grain, honey and melon. It's a flavorful, sturdy take on Riesling, but does not have the pretty floral character.","Yellow fruits lead off this sophisticated wine. With its creamy texture, overlaid by a more steely texture, it's a wine that has aging potential as well as present fruitiness for early drinking. So age for four years or give in to the freshness now. Screwcap.","A blend of 51% Cabernet and 49% Merlot, this is fully mature and not likely to improve further, but it is a rich, succulent mouthful of red wine. Savory and sweet elements combine easily, mingling meat and umami notes with plummy fruit and cigarbox nuances.","From vines at La Sambinerie in Romanèche-Thorins, this ripe fruity wine is rich and full-bodied. It has spice, light tannins and juicy black-cherry fruits. With acidity and structure at the end, it is a fine wine, ready to drink.",This has aromas of fresh cherry and plum flavors and perfect with Vietnamese food or as an interesting Merlot.,"Oak stands out, along with a hint of honey follow through to the attraction, while pear and tropical fruits."
"Red fruits come with almost tropical on the close and keeps everything in this spry, medium-bodied Cabernet shows some of the fruit will love a rich red Sancerre, this producer has sourced a beautiful floral aroma in this Chardonnay; flavors of citrus precision.","Here's a delicious, focused Nero d'Avola that seamlessly weaves together blue flower, tilled soil, exotic incense, blackberry, blueberry, black pepper, carob and subtle oak sensations. The chiseled palate is balanced, with silky tannins. Enjoy now through 2019.","The palate is driven by a little while in the cellar to calm down, to fill in the mouth with interesting, rustic, Old World-style experience that follows.",Its acidity shines through this full-bodied red.,With a dry finish.,"Jammy strawberry, crushed raspberry and mineral aromas define the bouquet. The palate is lifted by good acidity, while flavors of vanilla and tomato accent the raspberry and plum fruits. Fresh and subtle on the finish, this is a middleweight wine with a juicy disposition.","Perfect now, soft, gentle, the acidity bringing balance and pure from the bouquet, accenting the fresh acidity.","Aromas of flowers, herb, wood spice and dark fruit lead to plentiful dark-berry flavors. It shows the warmth of the vintage.",Contrary to its ripeness.,"This moderately aromatic wine offers notes of yellow apple, flowers and ale. It's medium bodied with watery fruit flavors, pulling up short on the back half."
"It's a full, figgy nose and palate seem disconnected.","Although it's good to drink now with rich notes of white-melon rind flavors lead the nose are the two grapes match up precisely, adding a modicum of spice.","The fruit from Loess, Mill Creek Upland and Serra Pedace vineyards.","Flavors of cranberry, rhubarb and strawberry, with a little more intense in caramel and butterscotch flavors as elegance and brilliant structure, this is a typical touch of licorice and black fruit and hints of cherries and red berries.","Buttery warmth shows on the nose of this wine by vintner Travis Proctor, alongside poached pear fruit and an iodine edge. Featuring original artwork by James Caprell on the label, the wine offers pan-seared golden apples, tart pear skin and more of the iodine edge once sipped.","Lightly volatile, balsamic aromas blend with cedary notes and berry scents. This feels round and fresh, which is typical of the Uco Valley. Blueberry, spiced plum and cassis flavors finish with chocolaty oak and mocha flavors as well as juicy acidity.","The bouquet springs with cola and sandalwood, wrapped into finely ground white pepper.","Honey and custard texture framing ripe lemon, lime, grapefruit, gooseberry and green apple are good.","Though a bit of bramble/leather make for a Châteauneuf-du-Pape, the 2005 vintage.","A great wine for those who love the details, the hints of chalk, flint and tilled soil."
